word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
Feuer_noun	cooc		1508	no	no	no	no	yes	yes	CATEGORY|industry	
Fisch_noun	cooc		1659	no	no	no	no	yes	yes	CATEGORY|food|beverage	
Flieder_noun	cooc		1754	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Fluessigkeit_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal	
Frau_noun	cooc		1508	no	no	no	yes	yes	no	CATEGORY|animal|people	
Frucht_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Galle_noun	cooc		1659	no	no	no	yes	no	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Garten_noun	cooc		1508	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Gas_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|emissions_traffic|fuel|dust	
Gaumen_noun	cooc		1659	no	no	yes	yes	yes	yes	CATEGORY|food|beverage	
Gebirge_noun	cooc		1545	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Geist_noun	cooc		1508	no	no	no	yes	yes	yes	CATEGORY|animal|people	
Geruch_noun	cooc	['s14288', 's27490']	1508	no	no	yes	yes	yes	yes	CATEGORY|tobacco|smoke	
Geschmack_noun	cooc		1508	yes	yes	yes	yes	yes	yes	CATEGORY|food|beverage	
Geschmackssinn_noun	cooc		1791	no	no	no	yes	yes	yes	CATEGORY|food|beverage	
Geschmaecke_noun	cooc		1752	no	no	yes	yes	yes	yes	CATEGORY|food|beverage	
Geschmaecken_noun	cooc		1787	no	no	no	yes	yes	yes	CATEGORY|food|beverage	
Gras_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Haar_noun	cooc		1508	no	no	no	yes	yes	yes	CATEGORY|animal|people	
Hals_noun	cooc		1545	no	no	no	yes	yes	yes	CATEGORY|animal|people	
Hauch_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Haut_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|animal|people	
Heu_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Himmel_noun	cooc		1508	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Hitze_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|emissions_traffic|fuel|dust	
Juchten_noun	cooc		1723	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Kelch_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Kind_noun	cooc		1508	no	no	no	yes	yes	no	CATEGORY|animal|people	
Kneifer_noun	cooc		1759	no	no	no	no	yes	yes	CATEGORY|animal|people	
Knospe_noun	cooc		1528	yes	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Kohlensaeure_noun	cooc		1659	no	no	no	no	yes	yes	CATEGORY|cleaning|medicinal	
Konsistenz_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|food|beverage	
Kopf_noun	cooc		1508	no	no	no	no	yes	yes	CATEGORY|animal|people	
Kopfkissen_noun	cooc		1784	no	no	no	no	yes	yes	CATEGORY|cleaning|medicinal	
Kreuz_noun	cooc		1628	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Krone_noun	cooc		1508	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Laerm_noun	cooc		1727	no	no	no	no	no	yes	CATEGORY|emissions_traffic|fuel|dust	
Licht_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|emissions_traffic|fuel|dust	
Linden_noun	cooc		1508	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Luft_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|emissions_traffic|fuel|dust	
Luftroehre_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal	
Luftstrom_noun	cooc		1774	no	no	no	no	yes	yes	CATEGORY|emissions_traffic|fuel|dust	
Lunge_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|animal|people	
Madensack_noun	cooc		1721	no	no	no	yes	yes	yes	CATEGORY|animal|people	
Materie_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|cleaning|medicinal	
Meer_noun	cooc		1508	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Mensch_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|animal|people	
Menschenhaufen_noun	cooc		1776	no	no	no	no	no	yes	CATEGORY|animal|people	
Milch_noun	cooc		1508	no	no	no	no	yes	yes	CATEGORY|food|beverage	
Mohn_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Nase_noun	cooc		1508	no	no	yes	yes	yes	yes		
Nasennebenhoehlen_noun	cooc		1872	no	no	no	no	no	yes	CATEGORY|animal|people	
Nasenrachenraum_noun	cooc		1824	no	no	no	no	yes	yes	CATEGORY|animal|people	
