word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality	
glace_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|food|beverage		
glycérine_noun	cooc		1776	no	no	no	no	yes	yes	CATEGORY|cleaning|medicinal		
goudron_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|emissions_traffic|fuel|dust		
gourde_noun	cooc		1553	no	no	no	no	no	yes	CATEGORY|food|beverage		manual
grain_noun	cooc		1553	no	yes	yes	yes	yes	yes	CATEGORY|food|beverage		manual
graine_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
graisse_noun	cooc		1553	yes	yes	yes	yes	yes	yes	CATEGORY|food|beverage		
gras_adj	cooc		1553	no	yes	yes	yes	yes	yes		CATEGORY|smoky|toasted|burnt|fatty	
grasse_noun	cooc		1553	no	no	no	no	yes	yes	CATEGORY|food|beverage		manual
gueule_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|animal|people		manual
guirlande_noun	cooc		1630	no	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
gâteau_noun	cooc		1623	no	no	no	no	yes	yes	CATEGORY|food|beverage		
géranium_noun	cooc		1674	no	no	no	no	no	yes	CATEGORY|nature_flowers|plant|tree|soil		
haie_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
hareng_noun	cooc		1574	no	no	yes	yes	yes	yes	CATEGORY|food|beverage		manual
havane_noun	cooc		1611	no	no	no	no	yes	yes	CATEGORY|tobacco|smoke		manual
herbe_noun	cooc		1553	yes	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
hideux_adj	cooc		1574	no	no	no	yes	yes	yes		CATEGORY|decayed	manual
homme_noun	cooc		1547	yes	yes	yes	yes	yes	yes	CATEGORY|animal|people		manual
houille_noun	cooc		1634	no	no	yes	yes	yes	yes	CATEGORY|industry		manual
houx_noun	cooc		1553	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
huile_noun	cooc		1553	yes	yes	yes	yes	yes	yes	CATEGORY|food|beverage		
humide_adj	cooc		1553	no	no	yes	yes	yes	yes		CATEGORY|woody/earthy/mouldy	
humide_noun	cooc		1575	no	no	no	yes	yes	no	CATEGORY|nature_flowers|plant|tree|soil		manual
humidité_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
humus_noun	cooc		1603	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
hydrochlorique_adj	cooc		1773	no	no	yes	yes	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic	manual
