CATEGORY|emissions_traffic|fuel|dust, asphalt, automobile, bus, buses, car, chemicals, chlorine, dust, exhaust, fuel, fume, fumes, gasoline, grease, haze, linen, lorries, oils, petrol, smog, smoke, traffic, tram, trams
CATEGORY|industry, bulldozer, chimney, coal, coals, diesel, drains, factory, grout, iron, metal, rust, sewage, sewer, sewers, smokestack, steam
CATEGORY|food|beverage, abattoir, abattoirs, almond, almonds, anise, apple, apple pie, apple pies, arugula, asian food, avocado, bacon, baked goods, bakery, baklava, banana, barbecue, basil, bbq, beer, beers, biscuit, biscuits, bitter, blend, booze, brandy, bread, brownie, butler, butterscotch, cabbage, cafe, cake, caramel, cardamom, cardamom, cedar, chabli, cheese, cherry, chicken, chipotle, chocolate, cinnamon, citrus, coffee, coke, condiment, cookie, corn, couscous, creme, crepe, cucumber, cuisine, dairy, dough, earl grey, egg, falafel, fish, flesh, food, food market, french fries, fresh bread, fresh coffee, fresh fish, fruit, fruitcake, fudge, garlic, garlic, grape, grease, groat, harvest, hash, herring, honey, hot dog, ice cream, indian food, jalapeno, leek, leftovers, lemon, licorice, lime, macadamia, marshmallow, mayonnaise, meat, melon, mince pie, moussaka, mushroom, mustard, oatmeal, oil, omelet, omelette, onion, orange juice, oriental food, oven, oven, ozone, pancake, pastry, pear, pepper, peppermint, pizza, potato, raisin, raspberry, relish, saffron, salt, sandwich, sausage, sauvignon, scallop, seafood, sherbet, sherry, skewer, snack, snapper, soda, soup, sour milk, spam, spice, spices, spicy food, steak, strawberry, sushi, sweet, taco, tart, tea, tiramisu, topping, vanilla, vegetables, vinegar, wafer, waffle, watercress, wine, yam, yeast
CATEGORY|tobacco|smoke, cigar, cigarette, incense, marijuana, smoke, smoker, smokey, smoky, tabacco, tobacco
CATEGORY|cleaning|medicinal, alcohol, ammonia, band, bleach, cleaner, cleaning, clothes, cologne, dentist, glue, heroine, ironing, knickers, laundry, mothball, paint, resin, solvent, spray paint, sulfide, underwear
CATEGORY|synthetic, latex, leather, rubber, suede, tire, tyre
CATEGORY|waste_garbage|pee|vomit|excrement|rotten, bile, bin, corpse, dog shit, excrement, faeces, fart, feces, garbage, garbage truck, litter, manure, manure, pee, piss, public toilet, rotten fruit, rotten socks, rubbish, shit, sour, toilet, trash, urinal, urine, vomit, waste
CATEGORY|animal|people, animal, barn, beagle, body, bull, deer, dirt, dirty clothes, doggie, feline, fresh air, frog, herd, horse, mud, ocelot, paraffin, rodent, skunk, sweat, vetiver, wolf, zoo
CATEGORY|nature_flowers|plant|tree|soil, amber, bloom, blooming, blossom, blossoming, bouquet, cedar, cedarwood, chrysanthemum, clay, conifer, daffodil, dampness, dry flowers, dry grass, earth, eucalyptus, eucalyptus, flower, flowershop, fragrance, goat, grass, ground, gum, hay, herb, ivy, jasmine, lavender, lavender, lawn, leaves, lily, lily, magnolia, medicinal, moist, musk, old wood, perfume, pine, pine, plant, pot, potpourri, powdery, rose, rosemary, sage, sandalwood, seaweed, soil, stone, sulphur, sycamore, tree, tulip, violet, weed, wet leaf, wood, wood, woodlands
