seed	co-occurence	time span	freq	total token timespan
bos	soort	1901-1925	4479	7815890332
bos	350	1851-1900	120	5394064364
bos	375	1851-1900	117	5394064364
bos	425	1851-1900	50	5394064364
bos	beukenhout	1851-1900	44	5394064364
bos	450	1851-1900	109	5394064364
bos	380	1851-1900	18	5394064364
bos	475	1901-1925	81	7815890332
bos	beukenhout	1901-1925	67	7815890332
bos	325	1901-1925	65	7815890332
bos	480	1901-1925	18	7815890332
bos	aanvoer	1901-1925	589	7815890332
bos	bloemkool	1901-1925	4736	7815890332
bos	klei	1901-1925	204	7815890332
bos	zand	1901-1925	121	7815890332
bos	zak	1901-1925	597	7815890332
bos	augurk	1901-1925	197	7815890332
bos	tot	1901-1925	952	7815890332
bos	ets	1901-1925	87	7815890332
bos	bellefleur	1901-1925	83	7815890332
bos	kin	1901-1925	127	7815890332
bos	berk	1901-1925	459	7815890332
bos	mosselhout	1901-1925	317	7815890332
bos	060	1901-1925	54	7815890332
bos	berk	1851-1900	154	5394064364
bos	mosselhout	1851-1900	106	5394064364
bos	060	1851-1900	65	5394064364
bos	065	1901-1925	15	7815890332
bos	275	1901-1925	67	7815890332
bos	biet	1901-1925	427	7815890332
bos	bloemkool	1851-1900	1015	5394064364
bos	et	1851-1900	26002	5394064364
bos	roode	1851-1900	763	5394064364
bos	fijn	1851-1900	76	5394064364
bos	grof	1851-1900	28	5394064364
bos	lo	1851-1900	28	5394064364
bos	ie	1901-1925	891	7815890332
bos	le	1901-1925	5284	7815890332
bos	soon	1901-1925	47	7815890332
bos	soor	1901-1925	29	7815890332
bos	soorii	1901-1925	6	7815890332
bos	le	1851-1900	228	5394064364
bos	soort	1851-1900	122	5394064364
bos	sooru	1901-1925	66	7815890332
bos	srt	1901-1925	95	7815890332
bos	lo	1901-1925	148	7815890332
bos	reus	1851-1900	89	5394064364
bos	kool	1901-1925	1459	7815890332
bos	kg	1851-1900	150	5394064364
bos	doperwt	1901-1925	19	7815890332
bos	ben	1901-1925	314	7815890332
bos	druif	1901-1925	120	7815890332
bos	eikenhout	1901-1925	293	7815890332
bos	wagenvracht	1901-1925	114	7815890332
bos	eood	1851-1900	34	5394064364
bos	kool	1851-1900	697	5394064364
bos	groen	1901-1925	690	7815890332
bos	23	1901-1925	114	7815890332
bos	groote	1901-1925	283	7815890332
bos	boon	1901-1925	89	7815890332
bos	kandij	1901-1925	81	7815890332
bos	kerswick	1901-1925	28	7815890332
bos	fijn	1901-1925	12	7815890332
bos	keel	1901-1925	641	7815890332
bos	kervel	1901-1925	212	7815890332
bos	koffie	1901-1925	22	7815890332
bos	termijn	1901-1925	15	7815890332
bos	komkommer	1901-1925	1805	7815890332
bos	10	1901-1925	1350	7815890332
bos	slaan	1901-1925	2275	7815890332
bos	dito	1901-1925	461	7815890332
bos	roode	1901-1925	1823	7815890332
bos	koolraap	1901-1925	440	7815890332
bos	125	1901-1925	68	7815890332
bos	150	1901-1925	280	7815890332
bos	wit	1851-1900	711	5394064364
bos	witto	1851-1900	13	5394064364
bos	kropsla	1901-1925	28	7815890332
bos	kroot	1901-1925	1065	7815890332
bos	50	1901-1925	585	7815890332
bos	spinazie	1901-1925	2315	7815890332
bos	meloen	1901-1925	86	7815890332
bos	nep	1901-1925	313	7815890332
bos	nep	1851-1900	263	5394064364
bos	50	1851-1900	423	5394064364
bos	peen	1901-1925	3592	7815890332
bos	sooit	1901-1925	6	7815890332
bos	peper	1901-1925	415	7815890332
bos	maat	1901-1925	19	7815890332
bos	perzik	1901-1925	411	7815890332
bos	kilo	1901-1925	1065	7815890332
bos	peterselie	1901-1925	681	7815890332
bos	peul	1901-1925	90	7815890332
bos	et	1901-1925	28149	7815890332
bos	dopper	1901-1925	17	7815890332
bos	pieterselie	1901-1925	135	7815890332
bos	selderie	1901-1925	204	7815890332
bos	postelein	1901-1925	244	7815890332
bos	2230	1901-1925	21	7815890332
bos	prei	1901-1925	1445	7815890332
bos	15	1901-1925	1976	7815890332
bos	ot	1901-1925	492	7815890332
bos	20	1901-1925	557	7815890332
bos	prei	1851-1900	97	5394064364
bos	pieterselie	1851-1900	51	5394064364
bos	ot	1851-1900	21	5394064364
bos	ico	1901-1925	64	7815890332
bos	princesseboon	1901-1925	350	7815890332
bos	enkel	1901-1925	40	7815890332
bos	4o	1901-1925	14	7815890332
bos	pond	1901-1925	578	7815890332
bos	pruimen	1901-1925	69	7815890332
bos	raapstelen	1901-1925	1540	7815890332
bos	46	1901-1925	125	7815890332
bos	6b	1901-1925	56	7815890332
bos	radijs	1901-1925	3480	7815890332
