word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
aleksandrin	cooc		-	-	-	-	-	-	-
alenka	cooc		-	-	-	-	-	-	-
alenkin	cooc		-	-	-	-	-	-	-
aleša	cooc		-	-	-	-	-	-	-
alfred	cooc		-	-	-	-	-	-	-
ali	cooc		-	-	-	-	-	-	-
alija	cooc		-	-	-	-	-	-	-
alkohol	cooc		-	-	-	-	-	-	-
alojzija	cooc		-	-	-	-	-	-	-
alojzijevišče	cooc		-	-	-	-	-	-	-
ambrosio	cooc		-	-	-	-	-	-	-
amen	cooc		-	-	-	-	-	-	-
amerika	cooc		-	-	-	-	-	-	-
amerikan	cooc		-	-	-	-	-	-	-
amerikanec	cooc		-	-	-	-	-	-	-
amerikanski	cooc		-	-	-	-	-	-	-
amin	cooc		-	-	-	-	-	-	-
amoniak	cooc		-	-	-	-	-	-	-
amonjak	cooc		-	-	-	-	-	-	-
amours	cooc		-	-	-	-	-	-	-
ampak	cooc		-	-	-	-	-	-	-
an	cooc		-	-	-	-	-	-	-
ananas	cooc		-	-	-	-	-	-	-
anastasius	cooc		-	-	-	-	-	-	-
andrejček	cooc		-	-	-	-	-	-	-
andrian	cooc		-	-	-	-	-	-	-
andrija	cooc		-	-	-	-	-	-	-
angel	cooc		-	-	-	-	-	-	-
angela	cooc		-	-	-	-	-	-	-
angelik	cooc		-	-	-	-	-	-	-
angelski	cooc		-	-	-	-	-	-	-
angleški	cooc		-	-	-	-	-	-	-
anica	cooc		-	-	-	-	-	-	-
anina	cooc		-	-	-	-	-	-	-
antilopa	cooc		-	-	-	-	-	-	-
anton	cooc		-	-	-	-	-	-	-
antonio	cooc		-	-	-	-	-	-	-
anček	cooc		-	-	-	-	-	-	-
apeninski	cooc		-	-	-	-	-	-	-
apetiti	cooc		-	-	-	-	-	-	-
apnenec	cooc		-	-	-	-	-	-	-
apno	cooc		-	-	-	-	-	-	-
apostol	cooc		-	-	-	-	-	-	-
apostolski	cooc		-	-	-	-	-	-	-
apotekar	cooc		-	-	-	-	-	-	-
april	cooc		-	-	-	-	-	-	-
ar	cooc		-	-	-	-	-	-	-
arabec	cooc		-	-	-	-	-	-	-
arabel	cooc		-	-	-	-	-	-	-
arabelina	cooc		-	-	-	-	-	-	-
arabski	cooc		-	-	-	-	-	-	-
arhitektura	cooc		-	-	-	-	-	-	-
ariel	cooc		-	-	-	-	-	-	-
aristokracija	cooc		-	-	-	-	-	-	-
aristokrat	cooc		-	-	-	-	-	-	-
aristokratski	cooc		-	-	-	-	-	-	-
aristokraški	cooc		-	-	-	-	-	-	-
armanda	cooc		-	-	-	-	-	-	-
aromatica	cooc		-	-	-	-	-	-	-
aromatičen	cooc	['fragrant.a.01', 'aromatic.s.02']	-	-	-	-	-	-	-
arsa	cooc		-	-	-	-	-	-	-
arta	cooc		-	-	-	-	-	-	-
as	cooc		-	-	-	-	-	-	-
asclepias	cooc		-	-	-	-	-	-	-
aten	cooc		-	-	-	-	-	-	-
atlet	cooc		-	-	-	-	-	-	-
audivimuz	cooc		-	-	-	-	-	-	-
aventura	cooc		-	-	-	-	-	-	-
avrelij	cooc		-	-	-	-	-	-	-
avstrija	cooc		-	-	-	-	-	-	-
avstrijski	cooc		-	-	-	-	-	-	-
avtomobil	cooc		-	-	-	-	-	-	-
azija	cooc		-	-	-	-	-	-	-
azijanec	cooc		-	-	-	-	-	-	-
azijski	cooc		-	-	-	-	-	-	-
azrael	cooc		-	-	-	-	-	-	-
ba	cooc		-	-	-	-	-	-	-
baba	cooc		-	-	-	-	-	-	-
babica	cooc		-	-	-	-	-	-	-
babji	cooc		-	-	-	-	-	-	-
bacca	cooc		-	-	-	-	-	-	-
baharija	cooc		-	-	-	-	-	-	-
bahati	cooc		-	-	-	-	-	-	-
bahav	cooc		-	-	-	-	-	-	-
bajati	cooc		-	-	-	-	-	-	-
bajen	cooc		-	-	-	-	-	-	-
bajone	cooc		-	-	-	-	-	-	-
bajta	cooc		-	-	-	-	-	-	-
bakač	cooc		-	-	-	-	-	-	-
bakren	cooc		-	-	-	-	-	-	-
bala	cooc		-	-	-	-	-	-	-
balkon	cooc		-	-	-	-	-	-	-
balzamski	cooc		-	-	-	-	-	-	-
ban	cooc		-	-	-	-	-	-	-
banata	cooc		-	-	-	-	-	-	-
bankovec	cooc		-	-	-	-	-	-	-
baraka	cooc		-	-	-	-	-	-	-
barati	cooc		-	-	-	-	-	-	-
barba	cooc		-	-	-	-	-	-	-
barbara	cooc		-	-	-	-	-	-	-
bariglje	cooc		-	-	-	-	-	-	-
bariton	cooc		-	-	-	-	-	-	-
baron	cooc		-	-	-	-	-	-	-
baronica	cooc		-	-	-	-	-	-	-
barva	cooc		-	-	-	-	-	-	-
barvan	cooc		-	-	-	-	-	-	-
barvati	cooc		-	-	-	-	-	-	-
barvilo	cooc		-	-	-	-	-	-	-
baržun	cooc		-	-	-	-	-	-	-
baržunast	cooc		-	-	-	-	-	-	-
bas	cooc		-	-	-	-	-	-	-
basa	cooc		-	-	-	-	-	-	-
bataljonski	cooc		-	-	-	-	-	-	-
bati	cooc		-	-	-	-	-	-	-
baviti	cooc		-	-	-	-	-	-	-
bazilika	cooc		-	-	-	-	-	-	-
bdeti	cooc		-	-	-	-	-	-	-
bdeč	cooc		-	-	-	-	-	-	-
beda	cooc		-	-	-	-	-	-	-
bedak	cooc		-	-	-	-	-	-	-
bedast	cooc		-	-	-	-	-	-	-
bedro	cooc		-	-	-	-	-	-	-
begati	cooc		-	-	-	-	-	-	-
begun	cooc		-	-	-	-	-	-	-
begunje	cooc		-	-	-	-	-	-	-
bel	cooc		-	-	-	-	-	-	-
beladona	cooc		-	-	-	-	-	-	-
belilo	cooc		-	-	-	-	-	-	-
belina	cooc		-	-	-	-	-	-	-
belkast	cooc		-	-	-	-	-	-	-
benečanski	cooc		-	-	-	-	-	-	-
beneški	cooc		-	-	-	-	-	-	-
benjamin	cooc		-	-	-	-	-	-	-
ber	cooc		-	-	-	-	-	-	-
bera	cooc		-	-	-	-	-	-	-
berač	cooc		-	-	-	-	-	-	-
beraški	cooc		-	-	-	-	-	-	-
berger	cooc		-	-	-	-	-	-	-
berlinec	cooc		-	-	-	-	-	-	-
berliner	cooc		-	-	-	-	-	-	-
berlinski	cooc		-	-	-	-	-	-	-
berolinski	cooc		-	-	-	-	-	-	-
beseda	cooc		-	-	-	-	-	-	-
besedilo	cooc		-	-	-	-	-	-	-
