word	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
Auge_noun	cooc		1508	no	yes	yes	yes	yes	yes		
Augenblicks_noun	cooc		1659	no	no	no	yes	yes	yes		
Augenbraue_noun	cooc		1801	no	no	no	yes	yes	yes		
Augenlider_noun	cooc		1763	no	no	no	yes	yes	yes		
Augenlidern_noun	cooc		1760	no	no	no	yes	yes	yes		
Ausdauer_noun	cooc		1508	no	no	no	no	yes	yes		
Ausdehnung_noun	cooc		1508	no	no	no	yes	no	yes		
Ausdruck_noun	cooc		1508	no	no	no	yes	yes	yes		
Ausduenstungen_noun	cooc		1508	no	no	no	yes	yes	yes		
Auseinandersetzung_noun	cooc		1508	no	no	no	no	no	yes		
Ausfluss_noun	cooc		1508	no	no	yes	yes	yes	yes		
Ausgabe_noun	cooc		1508	no	no	no	no	yes	yes		
Ausgesprochenes_noun	cooc		1815	no	no	no	yes	yes	yes		
Ausland_noun	cooc		1508	no	no	yes	yes	yes	yes		
Auslande_noun	cooc		1508	no	no	no	yes	yes	yes		
Aussehen_noun	cooc		1528	no	no	no	yes	yes	yes		
B_noun	cooc		1508	no	no	yes	yes	yes	yes		
Barte_noun	cooc		1508	no	no	no	no	yes	yes		
Basis_noun	cooc		1508	no	no	no	no	yes	yes		
Bauer_noun	cooc		1508	no	no	no	no	yes	yes	CATEGORY|animal|people	
Baum_noun	cooc		1545	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Beaengstigung_noun	cooc		1645	no	no	no	yes	yes	yes		
Bearbeitung_noun	cooc		1508	no	no	no	yes	yes	yes		
Beatmung_noun	cooc		1821	no	no	no	no	no	yes		
Becher_noun	cooc		1659	no	no	no	no	yes	yes	CATEGORY|food|beverage	
Bedauern_noun	cooc		1508	no	no	yes	yes	yes	yes		
Bedingung_noun	cooc		1508	no	no	yes	yes	yes	yes		
Beet_noun	cooc		1659	no	no	no	no	no	yes	CATEGORY|nature_flowers|plant|tree|soil	
Begriff_noun	cooc		1508	no	no	yes	yes	yes	yes		
Behauptung_noun	cooc		1508	no	no	no	no	yes	yes		
Beispiel_noun	cooc		1508	no	no	no	yes	yes	yes		
Beitrag_noun	cooc		1508	no	no	no	no	yes	yes		
Beobachtung_noun	cooc		1508	no	no	no	yes	yes	yes		
Berechnung_noun	cooc		1508	no	no	no	yes	yes	yes		
Bereich_noun	cooc		1508	no	no	no	yes	no	yes		
Beruf_noun	cooc		1508	no	no	no	yes	yes	yes		
Beschluss_noun	cooc		1508	no	no	no	yes	yes	no		
Besitz_noun	cooc		1508	no	no	yes	yes	yes	yes		
Bestimmtheit_noun	cooc		1508	no	no	no	yes	yes	yes		
Bestimmungsgrund_noun	cooc		1508	no	no	yes	yes	yes	yes		
Bestreben_noun	cooc		1508	no	no	no	no	yes	yes		
Bestrebung_noun	cooc		1729	no	no	no	yes	yes	yes		
Betriebsarten_noun	cooc		1789	no	no	no	no	yes	yes		
Bevoelkerung_noun	cooc		1508	no	no	no	yes	yes	yes		
Bewegung_noun	cooc		1508	no	no	yes	yes	yes	yes		
Beweis_noun	cooc		1508	no	no	yes	yes	yes	yes		
Beweisarten_noun	cooc		1764	no	no	yes	yes	yes	yes		
Beweisgrund_noun	cooc		1736	no	no	yes	yes	yes	yes		
Bewunderung_noun	cooc		1508	no	no	yes	yes	yes	yes		
Bewusstsein_noun	cooc		1508	no	no	no	yes	no	no		
Beziehung_noun	cooc		1508	no	no	no	no	no	yes		
Bezirk_noun	cooc		1508	no	no	no	yes	yes	no		
Bezug_noun	cooc		1508	no	no	no	yes	yes	yes		
Bibel_noun	cooc		1545	no	no	no	yes	yes	no		
Biene_noun	cooc		1741	no	no	no	yes	yes	yes	CATEGORY|animal|people	
Bild_noun	cooc		1508	no	no	yes	yes	yes	yes		
Bildung_noun	cooc		1508	no	no	no	yes	yes	yes		
Billigung_noun	cooc		1508	no	no	no	yes	yes	yes		
Bisam_noun	cooc		1742	no	no	no	yes	yes	yes		
Bitterkeit_noun	cooc		1528	no	no	no	no	yes	yes		
Blase_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Blatt_noun	cooc		1508	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Bleibende_noun	cooc		1729	no	no	no	yes	yes	yes		
Blick_noun	cooc		1508	no	no	no	yes	yes	yes		
Blickes_noun	cooc		1659	no	no	no	no	yes	yes		
Bluete_noun	cooc		1659	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Bluetenduft_noun	cooc		1659	no	no	no	no	no	yes	CATEGORY|nature_flowers|plant|tree|soil	
Blume_noun	cooc		1659	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Blut_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Blutbahn_noun	cooc		1800	no	no	no	no	yes	yes		
Blutung_noun	cooc		1745	no	no	yes	yes	yes	yes		
Boden_noun	cooc		1508	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Boesen_noun	cooc		1528	no	no	yes	yes	yes	yes		
Bohren_noun	cooc		1745	no	no	no	yes	yes	yes	CATEGORY|industry	
Botschaft_noun	cooc		1528	no	no	no	no	no	yes		
Branntwein_noun	cooc		1508	no	no	no	no	yes	yes	CATEGORY|tobacco|smoke	
Braten_noun	cooc		1689	no	no	no	no	yes	yes	CATEGORY|food|beverage	
Brille_noun	cooc		1729	no	no	yes	yes	yes	yes	CATEGORY|cleaning|medicinal	
Bronchie_noun	cooc		1816	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal	
Buch_noun	cooc		1508	no	no	no	yes	yes	yes		
Buttersaeure_noun	cooc		1814	no	no	no	yes	yes	yes	CATEGORY|food|beverage	
Chance_noun	cooc		1727	no	no	no	no	no	yes		
Charakteristik_noun	cooc		1720	no	no	no	yes	yes	yes		
China_noun	cooc		1508	no	no	no	yes	yes	yes		
Chlor_noun	cooc		1767	no	no	no	no	yes	yes	CATEGORY|cleaning|medicinal	
Choanen_noun	cooc		1808	no	no	no	yes	yes	yes		
Christenthum_noun	cooc		1628	no	no	no	yes	yes	yes		
Christentum_noun	cooc		1727	no	no	no	yes	yes	yes		
Dampf_noun	cooc		1717	no	no	no	no	yes	yes	CATEGORY|industry	
Darstellung_noun	cooc		1508	no	no	no	yes	yes	yes		
Dasein_noun	cooc		1508	no	no	no	yes	yes	yes		
Datis_noun	cooc		1659	no	no	yes	yes	yes	yes		
Dauer_noun	cooc		1508	no	no	no	no	no	yes		
Demokratie_noun	cooc		1628	no	no	no	no	yes	no		
Denkbestimmungen_noun	cooc		1812	no	no	no	yes	yes	yes		
Denken_noun	cooc		1628	no	no	yes	yes	yes	yes		
Deutlichkeit_noun	cooc		1508	no	no	no	yes	yes	yes		
Deutschland_noun	cooc		1508	no	no	no	yes	yes	yes		
Deutschlands_noun	cooc		1508	no	no	no	yes	yes	yes		
Diagnose_noun	cooc		1508	no	no	no	yes	yes	yes		
Dialektik_noun	cooc		1659	no	no	no	no	yes	yes		
Dichterische_noun	cooc		1778	no	no	no	yes	yes	yes		
Ding_noun	cooc		1528	no	no	yes	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Dritte_noun	cooc		1508	no	no	no	no	yes	yes		
Druck_noun	cooc		1508	yes	no	yes	yes	yes	yes		
Druecke_noun	cooc		1708	no	no	no	no	no	yes		
Duft_noun	cooc	['s14292']	1659	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Ehre_noun	cooc		1508	no	no	no	yes	yes	no		
Ei_noun	cooc		1508	no	no	yes	yes	yes	no		
Eigenheit_noun	cooc		1528	no	no	no	no	yes	yes		
Eigenschaft_noun	cooc		1508	no	no	yes	yes	yes	yes		
Einbildungskraft_noun	cooc		1528	no	no	no	yes	yes	yes		
Eindruck_noun	cooc		1508	no	no	no	no	yes	yes		
Einfluss_noun	cooc		1508	no	no	no	yes	yes	yes		
Einheit_noun	cooc		1508	no	no	yes	yes	yes	yes		
Einigung_noun	cooc		1508	no	no	no	yes	yes	yes		
Einnahme_noun	cooc		1508	no	no	yes	yes	yes	yes		
Einsicht_noun	cooc		1508	no	no	no	yes	yes	yes		
Einzelheit_noun	cooc		1659	no	no	no	no	yes	yes		
Einzelnheiten_noun	cooc		1508	no	no	no	yes	yes	yes		
Eiter_noun	cooc		1734	no	no	no	no	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Eiters_noun	cooc		1756	no	no	no	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Eiterungen_noun	cooc		1778	no	no	no	no	yes	yes	CATEGORY|cleaning|medicinal	
Element_noun	cooc		1508	no	no	yes	yes	yes	yes		
Empfaenglichkeit_noun	cooc		1528	no	no	no	yes	yes	yes		
Empfinden_noun	cooc		1659	no	no	no	yes	yes	yes		
Empfindung_noun	cooc		1528	no	no	yes	yes	yes	yes		
Ende_noun	cooc		1508	no	no	no	yes	yes	no		
Energie_noun	cooc		1508	no	no	no	no	no	yes	CATEGORY|emissions_traffic|fuel|dust	
England_noun	cooc		1508	no	no	yes	yes	yes	yes		
Entdeckung_noun	cooc		1508	no	no	no	yes	yes	yes		
Entscheidung_noun	cooc		1508	no	no	no	yes	yes	no		
Entschiedenheit_noun	cooc		1508	no	no	no	yes	yes	yes		
Entschlossenheit_noun	cooc		1508	no	no	no	no	no	yes		
Entwicklung_noun	cooc		1508	no	no	no	no	no	yes		
Entzuendung_noun	cooc		1708	no	no	no	yes	yes	yes		
Epoche_noun	cooc		1628	no	no	no	no	no	yes		
Erdball_noun	cooc		1659	no	no	yes	yes	yes	yes		
Erdboden_noun	cooc		1545	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
