word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
snuff_verb	seed	['snuff.v.01', 'snuff.v.02']	1597	yes	yes	yes	yes	yes	yes
snuffle_verb	seed	['snuff.v.01']	1608	no	no	no	yes	yes	yes
stank_adj	seed		1657	no	no	no	no	yes	yes
stench_noun	seed	['malodor.n.01']	1568	yes	yes	yes	yes	yes	yes
stink_noun	seed	['malodor.n.01']	1550	yes	yes	yes	yes	yes	yes
stink_verb	seed	['reek.v.02']	1562	yes	yes	yes	yes	yes	yes
stinking_adj	seed	['fetid.s.01']	1551	yes	yes	yes	yes	yes	yes
stunk_adj	seed		1673	no	yes	yes	yes	yes	yes
unscented_adj	seed		1753	no	no	yes	yes	yes	yes
vile_adj	seed	['nauseating.s.01']	1533	yes	yes	yes	yes	yes	yes
whiff_noun	seed	['puff.n.01']	1618	yes	yes	yes	yes	yes	yes
whiff_verb	seed	['sniff.v.01']	1653	no	no	yes	yes	yes	yes
wiff_verb	seed		1613	no	no	yes	yes	yes	yes
0_verb	cooc		1533	yes	yes	yes	yes	yes	yes
1470_noun	cooc		1675	no	no	no	no	yes	yes
1_noun	cooc		1524	no	no	no	no	yes	no
21s_noun	cooc		1574	no	no	no	yes	yes	no
466_noun	cooc		1562	no	no	no	no	yes	yes
49th_adj	cooc		1524	no	no	no	yes	yes	yes
7_noun	cooc		1524	no	no	no	yes	yes	yes
a_adj	cooc		1533	no	no	no	yes	yes	yes
a_noun	cooc		1524	no	yes	yes	yes	yes	yes
aachen_noun	cooc		1541	no	no	no	no	yes	yes
aaron_noun	cooc		1524	yes	yes	yes	yes	yes	yes
abandon_verb	cooc		1524	no	no	yes	yes	yes	yes
abandoned_adj	cooc		1568	no	no	no	yes	yes	yes
abash_verb	cooc		1593	no	no	yes	yes	yes	yes
abate_verb	cooc		1551	no	yes	yes	yes	yes	yes
abated_adj	cooc		1609	no	no	yes	yes	yes	yes
abatement_noun	cooc		1586	no	no	yes	yes	yes	no
abbey_adj	cooc		1524	no	no	no	yes	yes	yes
abbey_noun	cooc		1524	no	yes	yes	yes	yes	yes
abbot_noun	cooc		1524	no	no	yes	yes	yes	yes
abbreviation_noun	cooc		1564	no	yes	yes	yes	yes	yes
abdaul_noun	cooc		1788	no	no	no	yes	yes	yes
abdomen_noun	cooc		1638	no	no	no	yes	yes	yes
abdominal_adj	cooc		1603	no	no	no	no	yes	yes
abet_verb	cooc		1600	no	no	no	yes	yes	yes
abettor_noun	cooc		1593	no	no	yes	yes	yes	yes
abhominable_adj	cooc		1539	no	yes	yes	yes	yes	yes
abhor_verb	cooc		1550	no	yes	yes	yes	yes	yes
abhorred_adj	cooc		1592	no	no	yes	yes	yes	yes
abhorrence_noun	cooc		1547	no	no	yes	yes	yes	yes
abhorrent_adj	cooc		1599	no	no	no	yes	yes	yes
abide_verb	cooc		1547	yes	yes	yes	yes	yes	yes
abigail_noun	cooc		1566	no	no	no	yes	yes	yes
ability_noun	cooc		1524	no	yes	yes	yes	yes	yes
abimelech_noun	cooc		1596	no	yes	yes	yes	yes	yes
abject_adj	cooc		1562	no	yes	yes	yes	yes	yes
abjectness_noun	cooc		1656	no	no	no	yes	yes	yes
able_adj	cooc		1524	yes	yes	yes	yes	yes	yes
abode_noun	cooc		1524	yes	yes	yes	yes	yes	yes
abolish_verb	cooc		1524	yes	yes	yes	yes	yes	yes
abolition_noun	cooc		1524	no	no	no	yes	yes	yes
